"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 10 10:07:01 CST 2023","Tue Jan 10 10:07:02 CST 2023","923","tool","test_case","","","","hc_consumableList_frameTime_desc","POST请求参数:{'orderBy': 'frameTime', 'orderByTwo': 'desc', 'page': {'currentPage': 1, 'showCount': 15}}"
"passed","Tue Jan 10 10:06:53 CST 2023","Tue Jan 10 10:06:54 CST 2023","874","tool","test_case","","","","hxjlistAllUse","POST请求参数:{}"
"passed","Tue Jan 10 10:05:43 CST 2023","Tue Jan 10 10:05:44 CST 2023","734","tool","test_case","","","","cpcomplianceList7Days","POST请求参数:{'dayNum': 7, 'dayTime': '2023-01-10', 'page': {'currentPage': 1, 'showCount': 15}, 'sqlNames': ['userName', 'patientName', 'deviceId', 'latelTime', 'dayNum']}"
"passed","Tue Jan 10 10:06:09 CST 2023","Tue Jan 10 10:06:10 CST 2023","786","tool","test_case","","","","addtime_asc","POST请求参数:{'addTime': '', 'addTimeMax': '', 'followPatientName': '', 'followType': '', 'doctorName': '', 'orderBy': 'add_time', 'orderByTwo': 'asc', 'page': {'currentPage': 1, 'showCount': 15}}"
"passed","Tue Jan 10 10:07:33 CST 2023","Tue Jan 10 10:07:35 CST 2023","1497","tool","test_case","","","","jggl_orgDoList_add_time_asc","POST请求参数:{'orderBy': 'add_time', 'orderByTwo': 'asc', 'page': {'currentPage': 1, 'showCount': 15}, 'sqlNames': ['addTime']}"
"passed","Tue Jan 10 10:05:09 CST 2023","Tue Jan 10 10:05:14 CST 2023","4801","tool","test_case","","","","updatapwd","重置密码"
"passed","Tue Jan 10 10:04:33 CST 2023","Tue Jan 10 10:04:33 CST 2023","125","tool","test_case","","","","sy_follow","POST请求参数:{'dayTime': '2022-09-27'}"
"passed","Tue Jan 10 10:06:15 CST 2023","Tue Jan 10 10:06:16 CST 2023","791","tool","test_case","","","","sffasongid","POST请求参数:{'addTime': '', 'addTimeMax': '', 'followPatientName': '', 'followType': '2', 'doctorName': '', 'page': {'currentPage': 1, 'showCount': 15}}"
"passed","Tue Jan 10 10:06:06 CST 2023","Tue Jan 10 10:06:06 CST 2023","806","tool","test_case","","","","cpcomplianceList_latelTime","POST请求参数:{'dayNum': 30, 'dayTime': '2023-01-10', 'orderBy': 'latelTime', 'orderByTwo': 'desc', 'page': {'currentPage': 1, 'showCount': 15}, 'sqlNames': ['latelTime']}"
"passed","Tue Jan 10 10:06:03 CST 2023","Tue Jan 10 10:06:04 CST 2023","759","tool","test_case","","","","cpcomplianceList_leak","POST请求参数:{'dayNum': 30, 'dayTime': '2023-01-10', 'orderBy': 'leak', 'orderByTwo': 'desc', 'page': {'currentPage': 1, 'showCount': 15}, 'sqlNames': ['leak']}"
